duration_micros,with_error,method,linearization_size,file_size
196036,false,textDocument/didOpen,,3956
74,false,textDocument/definition,89,
185,false,textDocument/hover,89,
171,false,textDocument/hover,89,
101,false,textDocument/hover,89,
15,false,textDocument/definition,89,
137,false,textDocument/hover,89,
49,false,textDocument/references,89,
25,false,textDocument/references,89,
189,false,textDocument/hover,89,
91328,false,textDocument/didOpen,,928
62910,false,textDocument/didOpen,,1808
54764,false,textDocument/didOpen,,133
730,false,textDocument/didOpen,,189
40,true,textDocument/hover,,
18635,false,textDocument/didOpen,,190
35769,false,textDocument/didOpen,,191
49472,false,textDocument/didOpen,,133
142,false,textDocument/didOpen,,167
29916,false,textDocument/didOpen,,168
30169,false,textDocument/didOpen,,169
60872,false,textDocument/didOpen,,242
80188,false,textDocument/didOpen,,646
63409,false,textDocument/didOpen,,191
66291,false,textDocument/didOpen,,191
4406796,false,textDocument/didOpen,,33655
101139,false,textDocument/didOpen,,4798
104293,false,textDocument/didOpen,,4515
74356,false,textDocument/didOpen,,4517
81,false,textDocument/completion,309,
91874,false,textDocument/didOpen,,4520
71,false,textDocument/completion,309,
73235,false,textDocument/didOpen,,4516
98,false,textDocument/completion,309,
70676,false,textDocument/didOpen,,4519
849,false,textDocument/didOpen,,4519
401,false,textDocument/didOpen,,4520
73,false,textDocument/completion,309,
502,false,textDocument/didOpen,,4524
1082,false,textDocument/didOpen,,4523
423,false,textDocument/didOpen,,4523
95,false,textDocument/completion,309,
108454,false,textDocument/didOpen,,4527
102401,false,textDocument/didOpen,,4522
1714,false,textDocument/didOpen,,4518
160642,false,textDocument/didOpen,,4519
151387,false,textDocument/didOpen,,4515
169733,false,textDocument/didOpen,,4516
180345,false,textDocument/didOpen,,4517
109,false,textDocument/completion,303,
166748,false,textDocument/didOpen,,4520
101,false,textDocument/completion,303,
188894,false,textDocument/didOpen,,4522
99,false,textDocument/completion,303,
268540,false,textDocument/didOpen,,4523
240740,false,textDocument/didOpen,,4524
37,false,textDocument/hover,303,
104,false,textDocument/hover,303,
264604,false,textDocument/didOpen,,4525
249607,false,textDocument/didOpen,,4526
99,false,textDocument/completion,289,
215026,false,textDocument/didOpen,,4531
259943,false,textDocument/didOpen,,4532
273060,false,textDocument/didOpen,,4533
328277,false,textDocument/didOpen,,4524
347730,false,textDocument/didOpen,,4525
302344,false,textDocument/didOpen,,4526
115,false,textDocument/completion,289,
276612,false,textDocument/didOpen,,4531
352304,false,textDocument/didOpen,,4532
293373,false,textDocument/didOpen,,4533
395851,false,textDocument/didOpen,,4534
297811,false,textDocument/didOpen,,4535
101,false,textDocument/completion,289,
384807,false,textDocument/didOpen,,4538
318291,false,textDocument/didOpen,,4540
369108,false,textDocument/didOpen,,4541
312237,false,textDocument/didOpen,,4542
438616,false,textDocument/didOpen,,4544
85,false,textDocument/completion,283,
407751,false,textDocument/didOpen,,4549
335806,false,textDocument/didOpen,,4551
773,false,textDocument/didOpen,,4553
48,false,textDocument/completion,1,
2136,false,textDocument/didOpen,,4559
